original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Standardized test scores,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Application Essay,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Recommendation,,,コロ,コロ,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Nonacademic,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Interview,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Extracurricular,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,activities Talent / ability,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Character personal qualities,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,First generation,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Alumni / ae relation,,,,,
